word,phonetic,pos,definition,source
today,tə'de,,n.今天,外研社初中
Monday,ˈmʌnde; ˈmʌndɪ,,n.星期一,外研社初中
Tuesday,ˈtuzdɪ;-de,,n.星期二,外研社初中
Wednesday,ˈwɛnzdɪ,,n.星期三,外研社初中
Thursday,ˈθɝzde; ˈθɝzdɪ,,n.星期四,外研社初中
Friday,ˈfraɪdeɪ,,n.星期五,外研社初中
Saturday,sætɚdɪ; -de,,n.星期六,外研社初中
Sunday,ˈsʌnde; ˈsʌndi,,n.星期天,外研社初中
birthday,'bɝθde,,n.生日,外研社初中
favourite (AmE favorite),,,a.最喜爱的,外研社初中
spring,sprɪŋ,,n.春天,外研社初中
summer,'sʌmɚ,,n.夏天,外研社初中
autumn,'ɔtəm,,n.秋天,外研社初中
winter,'wɪntɚ,,n.冬天,外研社初中
warm,wɔrm,,a.暖和的，温暖的,外研社初中
hot,hɑt,,a.热的,外研社初中
cool,kul,,a.凉快的,外研社初中
cold,kold,,a.冷的,外研社初中
weather,'wɛðɚ,,n.天气,外研社初中
like,laɪk,,prep.如同，像,外研社初中
London,ˈlʌndən,,伦敦,外研社初中
basketball,'bæskɪtbɔl,,n.篮球,外研社初中
football,'fʊtbɔl,,n.足球,外研社初中
swimming,'swɪmɪŋ,,n.游泳,外研社初中
table tennis,'teɪb(ə)l'tenɪs,,乒乓球,外研社初中
sport,spɔrt,,n.运动,外研社初中
let,lɛt,,v.让，使,外研社初中
us,əs; ʌs,,pron.（宾格）我们,外研社初中
let's = let us,,,让我们,外研社初中
play,ple,,v.参加（体育运动或球赛）；玩耍,外研社初中
after,'æftɚ,,prep.在⋯⋯后,外研社初中
school,skul,,n.学校,外研社初中
idea,aɪ'diə,,n.想法，主意,外研社初中
Chinese,tʃaɪˈniːz,,n.中国人；汉语 a.中国的，中国人的,外研社初中
from,frʌm,,prep.从⋯⋯来，来自,外研社初中
where,hweə(r); hwɛr,,ad.在哪里，去哪里,外研社初中
year,jɪr; yir,,n.年龄；年,外研社初中
about,ə'baʊt,,prep.关于,外研社初中
What about ⋯?,,,⋯⋯怎么样？,外研社初中
Ms,'ɛm 'ɛs; mɪz,,n.女士,外研社初中
America,əˈmɛrɪkə,,美国；美洲,外研社初中
not,nɑt,,ad.不，不是，没有,外研社初中
England,'iŋɡlənd,,英格兰,外研社初中
hi,haɪ,,int.嘿，喂,外研社初中
American,əˈmɛrɪkən,,n.美国人；美洲人,外研社初中
adj.,,,美国的；美国人的；美洲的,外研社初中
our,aʊr,,pron.我们的,外研社初中
grade,ɡred,,n.年级,外研社初中
he,hi,,pron.他,外研社初中
China,ˈtʃaɪnə,,中国,外研社初中
everyone,'ɛvrɪwʌn,,pron.大家；每人,外研社初中
capital,'kæpɪtl,,n.首都；省会,外研社初中
but,bʌt,,conj.但是，然而,外研社初中
very,ˈvɛrɪ,,ad.很，非常,外研社初中
big,bɪɡ,,a.大的,外研社初中
city,'sɪti,,n.城市,外研社初中
small,smɔl,,a.小的,外研社初中
first,fɝst,,a.第一（位）的，首要的 ad.先；首先,外研社初中
first name,,,名字,外研社初中
last,læst,,a.最后的，最末的 ad.最后，最末,外研社初中
last name,,,姓,外研社初中
all,ɔl,,pron.每个，全体,外研社初中
aunt,ænt,,n.姨母；伯母；婶母；舅母；姑母,外研社初中
brother,'brʌðɚ,,n.兄弟,外研社初中
cousin,'kʌzn,,n.堂兄弟；表兄弟；堂姐妹；表姐妹,外研社初中
daughter,'dɔtɚ,,n.女儿,外研社初中
family,ˈfæməlɪ,,n.家，家庭,外研社初中
father,'fɑðɚ,,n.父亲，爸爸,外研社初中
grandfather,'græn'fɑðɚ,,n.（外）祖父,外研社初中
grandmother,'ɡrænmʌðɚ,,n.（外）祖母,外研社初中
grandparent,'græn'pɛrənt,,n.（外）祖父母,外研社初中
mother,'mʌðɚ,,n.母亲，妈妈,外研社初中
parent,'pɛrənt,,n.母亲；父亲,外研社初中
sister,'sɪstɚ,,n.姐；妹,外研社初中
son,sʌn,,n.儿子,外研社初中
uncle,'ʌŋkl,,n.叔叔；伯伯；舅舅；姑父；姨夫,外研社初中
photo (= photograph),,,n.照片，相片,外研社初中
these,ðiz,,pron.这些,外研社初中
they,ðe,,pron.他们，她们，它们,外研社初中
mum,mʌm,,n.妈妈,外研社初中
left,lɛft,,n.左边，左侧 a.左边的，左侧的,外研社初中
on the left,,,在左边，在左侧,外研社初中
dad,dæd,,n.爸爸,外研社初中
right,raɪt,,n.右边，右侧 a.右边的，右侧的,外研社初中
on the right,,,在右边，在右侧,外研社初中
who,hu,,pron.谁,外研社初中
woman,'wʊmən,,n.成年女子；妇女 (pl. women),外研社初中
next,nɛkst,,a.紧挨着，紧靠着 ad.紧接下来地，下一步,外研社初中
next to,,,在⋯⋯旁边，紧挨着,外研社初中
husband,'hʌzbənd,,n.丈夫,外研社初中
front,frʌnt,,n.前面；正面,外研社初中
in front of,ɪn frʌnt ʌv,,在⋯⋯的前面,外研社初中
those,ðoz,,pron.那些,外研社初中
bus,bʌs,,n.公共汽车,外研社初中
station,ˈsteɪʃən,,n.站；车站,外研社初中
hospital,'hɑspɪtl,,n.医院,外研社初中
hotel,ho'tɛl,,n.饭店；宾馆,外研社初中
police,pə'lis,,n.警察,外研社初中
theatre (AmE theater),,,n.剧院,外研社初中
actor,'æktɚ,,n.（男）演员,外研社初中
driver,'draɪvɚ,,n.司机，驾驶员,外研社初中
manager,'mænɪdʒɚ,,n.经理,外研社初中
nurse,nɝs,,n.护士,外研社初中
policeman,pə'lismən,,n.男警察 (pl. policemen),外研社初中
we,wi,,pron.我们,外研社初中
an,"ən,æn",,art.一（个，件⋯⋯）,外研社初中
job,dʒɒb,,n.工作,外研社初中
at,æt; ət,,prep.在⋯⋯；在⋯⋯里,外研社初中
same,sem,,a.相同的，同一的,外研社初中
doctor,'dɑktɚ,,n.医生,外研社初中
farm,fɑrm,,n.农场,外研社初中
worker,'wɝkɚ,,n.工人,外研社初中
man,mæn,,n.男人 (pl. men),外研社初中
shop,ʃɑp,,n.商店,外研社初中
its,ɪts,,pron.它的,外研社初中
their,ðɛr,,pron.他们的，她们的，它们的,外研社初中
computer,kəm'pjutɚ,,n.计算机；电脑,外研社初中
furniture,'fɝnɪtʃɚ,,n.家具（总称）,外研社初中
map,mæp,,n.地图,外研社初中
picture,'pɪktʃɚ,,n.图片；照片,外研社初中
television (= TV),,,n.电视；电视机,外研社初中
wall,wɔl,,n.墙,外研社初中
thirty,'θɝti,,num.三十,外研社初中
forty,'fɔrti,,num.四十,外研社初中
fifty,'fɪfti,,num.五十,外研社初中
sixty,'sɪksti,,num.六十,外研社初中
seventy,'sɛvnti,,num.七十,外研社初中
eighty,ˈeti,,num.八十,外研社初中
ninety,'naɪnti,,num.九十,外研社初中
really,"ˈriəˌli, ˈrili",,ad.真正地；非常，很,外研社初中
many,'mɛni,,a.许多，很多,外研社初中
how many,,,多少,外研社初中
there,ðɛr,,pron.（用于引导句子的主语）,外研社初中
lot,lɑt,,n.大量；许多,外研社初中
a lot of,,,大量；许多,外研社初中
oh,o,,int.唉，噢,外研社初中
any,'ɛni,,a.任何一个；一些 pron.任何一个；一些,外研社初中
world,wɝld,,n.世界,外研社初中
